Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Allocated
TambahTugas;Job-FTOBUC;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"2,741.7 ns";437.36 ns;"1,261.9 ns";"2,200.0 ns";0 B
AmbilTugas;Job-FTOBUC;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"1,415.3 ns";280.25 ns;817.5 ns;"1,200.0 ns";0 B
CekTugasTersedia;Job-FTOBUC;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;438.5 ns;95.73 ns;276.2 ns;300.0 ns;0 B
HapusTugas;Job-FTOBUC;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"1,021.9 ns";176.67 ns;509.7 ns;900.0 ns;0 B
GetSemuaTugas;Job-FTOBUC;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"1,225.0 ns";244.92 ns;706.7 ns;"1,000.0 ns";0 B
TambahTugasUntukStatus;Job-FTOBUC;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"3,217.9 ns";386.67 ns;"1,109.4 ns";"2,900.0 ns";0 B
HapusTugasDariStatus;Job-FTOBUC;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;703.1 ns;171.01 ns;496.1 ns;500.0 ns;0 B
GetTugasDariStatus;Job-FTOBUC;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;845.7 ns;192.30 ns;548.6 ns;600.0 ns;0 B
GetStatusDariTugas;Job-FTOBUC;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"5,081.3 ns";700.50 ns;"2,021.1 ns";"4,700.0 ns";0 B
SimpanJadwal;Job-FTOBUC;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"2,173.2 ns";416.24 ns;"1,194.3 ns";"1,750.0 ns";0 B
GetTugasKaryawan;Job-FTOBUC;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"2,220.2 ns";260.13 ns;720.8 ns;"2,000.0 ns";0 B
SelesaikanTugas;Job-FTOBUC;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;"3,950.0 ns";500.48 ns;"1,459.9 ns";"3,700.0 ns";0 B
